Term	TF	IDF
doctype	0.000245	0.000000
html	0.000489	0.000000
ru	0.000489	0.000000
head	0.000245	0.000000
meta	0.010027	0.000000
title	0.000734	0.000000
ассорти	0.004647	1.916923
макарон	0.005869	3.015535
клубничный	0.005625	3.238678
чизкейк	0.005625	3.931826
черника	0.006114	2.833213
фисташка	0.005380	3.238678
с	0.004157	0.000000
бесплатной	0.000734	0.000000
доставкой	0.000734	0.000000
на	0.003179	0.000000
дом	0.000978	0.000000
из	0.004157	0.000000
вкусвилл	0.003424	0.000000
москва	0.000734	0.000000
и	0.007581	0.000000
вся	0.000245	0.000000
россия	0.000734	0.000000
description	0.000734	0.000000
купить	0.000489	0.000000
всего	0.000489	0.000000
за	0.000978	0.000000
часа	0.000734	0.000000
в	0.006359	0.000000
городе	0.000489	0.000000
других	0.000489	0.000000
городах	0.000489	0.000000
россии	0.000489	0.000000
также	0.000489	0.000000
можно	0.001223	0.000000
оформить	0.000489	0.000000
самовывоз	0.000734	0.000000
забрать	0.000489	0.000000
собранный	0.000489	0.000000
заказ	0.000734	0.000000
через	0.000734	0.000000
минут	0.000978	0.000000
цены	0.000489	0.000000
отзывы	0.001467	0.000000
о	0.001956	0.000000
товарах	0.000489	0.000000
от	0.000978	0.000000
наших	0.000489	0.000000
покупателей	0.000734	0.000000
действующие	0.000489	0.000000
акции	0.001223	0.000000
официальном	0.000489	0.000000
сайте	0.000489	0.000000
viewport	0.000245	0.000000
yes	0.000489	0.000000
ffffff	0.000489	0.000000
p	0.000245	0.000000
link	0.004891	0.000000
manifest	0.000245	0.000000
icon	0.001712	0.000000
shortcut	0.000245	0.000000
preload	0.000734	0.000000
font	0.000489	0.000000
anonymous	0.000489	0.000000
stylesheet	0.000978	0.000000
amp	0.002446	0.000000
script	0.007337	0.000000
true	0.011739	0.000000
function	0.001712	0.000000
w	0.000245	0.000000
d	0.000245	0.000000
n	0.003424	0.000000
var	0.011005	0.000000
cl	0.003424	0.000000
ht	0.000489	0.000000
htc	0.000978	0.000000
undefined	0.000734	0.000000
if	0.004402	0.000000
return	0.000489	0.000000
ua	0.002690	0.000000
ipad	0.000245	0.000000
iphone	0.000245	0.000000
else	0.001712	0.000000
window	0.000734	0.000000
document	0.001956	0.000000
navigator	0.000245	0.000000
image	0.001223	0.000000
http	0.019320	0.000000
og	0.001712	0.000000
url	0.000978	0.000000
type	0.000489	0.000000
website	0.000245	0.000000
locale	0.000245	0.000000
canonical	0.000245	0.000000
body	0.000245	0.000000
div	0.132795	0.000000
cookie	0.000245	0.000000
button	0.017853	0.000000
span	0.031548	0.000000
svgicon	0.013940	0.000000
svg	0.020054	0.000000
use	0.008315	0.000000
xlink	0.008315	0.000000
закрыть	0.000978	0.000000
мы	0.000489	0.000000
используем	0.000245	0.000000
cooky	0.000245	0.000000
чтобы	0.000734	0.000000
сайт	0.000245	0.000000
был	0.000245	0.000000
лучше	0.000245	0.000000
a	0.027146	0.000000
green	0.000245	0.000000
bold	0.000245	0.000000
nobr	0.001467	0.000000
что	0.001223	0.000000
это	0.000489	0.000000
noscript	0.000245	0.000000
iframe	0.000245	0.000000
display	0.004647	0.000000
none	0.009293	0.000000
visibility	0.000489	0.000000
hidden	0.011983	0.000000
img	0.016141	0.000000
position	0.003179	0.000000
absolute	0.001223	0.000000
left	0.001467	0.000000
fixed	0.000978	0.000000
getrecaptchatoken	0.000245	0.000000
inline	0.000245	0.000000
