Term	TF	IDF
<	0.087943	0.000000
!	0.000516	0.000000
doctype	0.000037	0.000000
html	0.000074	0.000000
>	0.088053	0.000000
class=	0.037748	0.000000
''	0.179753	0.000000
lang=	0.000037	0.000000
ru	0.000074	0.000000
head	0.000037	0.000000
meta	0.001510	0.000000
charset=	0.000037	0.000000
utf-8	0.000037	0.000000
http-equiv=	0.000037	0.000000
x-ua-compatible	0.000037	0.000000
content=	0.001473	0.000000
ie=edge	0.000037	0.000000
,	0.008323	0.000000
chrome=1	0.000037	0.000000
title	0.000110	0.000000
брауни	0.000700	3.015535
протеиновое	0.000700	3.526361
с	0.000552	0.000000
бесплатной	0.000110	0.000000
доставкой	0.000110	0.000000
на	0.000663	0.000000
дом	0.000110	0.000000
из	0.000258	0.000000
«	0.000184	0.000000
вкусвилл	0.000479	0.000000
»	0.000184	0.000000
|	0.000074	0.000000
москва	0.000110	0.000000
и	0.000994	0.000000
вся	0.000037	0.000000
россия	0.000074	0.000000
/title	0.000037	0.000000
name=	0.000958	0.000000
description	0.000110	0.000000
купить	0.000074	0.000000
всего	0.000074	0.000000
за	0.000147	0.000000
2	0.000626	0.000000
часа	0.000110	0.000000
в	0.000737	0.000000
городе	0.000074	0.000000
других	0.000074	0.000000
городах	0.000074	0.000000
россии	0.000074	0.000000
.	0.000958	0.000000
также	0.000074	0.000000
можно	0.000110	0.000000
оформить	0.000074	0.000000
онлайн-заявку	0.000074	0.000000
самовывоз	0.000110	0.000000
забрать	0.000074	0.000000
собранный	0.000074	0.000000
заказ	0.000110	0.000000
через	0.000110	0.000000
30	0.000110	0.000000
минут	0.000147	0.000000
цены	0.000074	0.000000
отзывы	0.000221	0.000000
о	0.000295	0.000000
товарах	0.000074	0.000000
от	0.000221	0.000000
наших	0.000074	0.000000
покупателей	0.000110	0.000000
действующие	0.000074	0.000000
акции	0.000184	0.000000
официальном	0.000074	0.000000
сайте	0.000074	0.000000
/	0.006482	0.000000
viewport	0.000037	0.000000
width=device-width	0.000037	0.000000
initial-scale=1	0.000037	0.000000
format-detection	0.000110	0.000000
telephone=no	0.000037	0.000000
address=no	0.000037	0.000000
email=no	0.000037	0.000000
yandex-verification	0.000074	0.000000
